County,Office,Candidate,Party,County Total,State Total
Choctaw,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Claiborne,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,7,1317
Clarke,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,6,1317
Clay,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,17,1317
Coahoma,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,6,1317
Copiah,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,20,1317
Covington,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,7,1317
DeSoto,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,94,1317
Forrest,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,29,1317
Franklin,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
George,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,12,1317
Greene,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Grenada,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,13,1317
Hancock,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,16,1317
Harrison,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,82,1317
Hinds,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,114,1317
Holmes,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,13,1317
Humphreys,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,3,1317
Issaquena,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,1,1317
Itawamba,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Jackson,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,49,1317
Jasper,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,10,1317
Jeff Davis,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Jefferson,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,1,1317
Jones,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,26,1317
Kemper,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,9,1317
Lafayette,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,14,1317
Lamar,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,19,1317
Lauderdale,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,24,1317
Lawrence,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,5,1317
Leake,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,8,1317
Lee,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,32,1317
Leflore,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,9,1317
Lincoln,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Lowndes,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,21,1317
Madison,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,53,1317
Marion,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Marshall,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,23,1317
Monroe,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,22,1317
Montgomery,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Neshoba,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,12,1317
Newton,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,9,1317
Noxubee,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,6,1317
Oktibbeha,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,28,1317
Panola,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,19,1317
Pearl River,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,12,1317
Perry,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Pike,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,22,1317
Pontotoc,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,16,1317
Prentiss,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,9,1317
Quitman,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,3,1317
Rankin,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,57,1317
Scott,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,13,1317
Sharkey,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,1,1317
Simpson,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,14,1317
Smith,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Stone,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,14,1317
Sunflower,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,8,1317
Tallahatchie,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,9,1317
Tate,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,12,1317
Tippah,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,14,1317
Tishomingo,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,11,1317
Tunica,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,7,1317
Union,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,10,1317
Walthall,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,6,1317
Warren,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,25,1317
Washington,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,19,1317
Wayne,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Webster,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Wilkinson,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,4,1317
Winston,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,6,1317
Yalobusha,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,8,1317
Yazoo,United States-President,Presidential Electors for Phil Collins for President and Bill Parker for Vice President,Independent,10,1317
Adams,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,10,1498
Alcorn,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Amite,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,10,1498
Attala,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,11,1498
Benton,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,5,1498
Bolivar,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,19,1498
Calhoun,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,4,1498
Carroll,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,7,1498
Chickasaw,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Choctaw,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,2,1498
Claiborne,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,10,1498
Clarke,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,14,1498
Clay,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,12,1498
Coahoma,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,14,1498
Copiah,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,11,1498
Covington,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,3,1498
DeSoto,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,96,1498
Forrest,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,54,1498
Franklin,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,3,1498
George,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,10,1498
Greene,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,4,1498
Grenada,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,8,1498
Hancock,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,23,1498
Harrison,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,101,1498
Hinds,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,110,1498
Holmes,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,15,1498
Humphreys,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,4,1498
Issaquena,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,0,1498
Itawamba,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,15,1498
Jackson,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,76,1498
Jasper,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Jeff Davis,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,5,1498
Jefferson,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Jones,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,24,1498
Kemper,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Lafayette,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,40,1498
Lamar,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,32,1498
Lauderdale,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,25,1498
Lawrence,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,8,1498
Leake,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Lee,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,44,1498
Leflore,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Lincoln,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,19,1498
Lowndes,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,32,1498
Madison,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,41,1498
Marion,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,11,1498
Marshall,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,27,1498
Monroe,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,17,1498
Montgomery,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,3,1498
Neshoba,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Newton,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,8,1498
Noxubee,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Oktibbeha,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,51,1498
Panola,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,11,1498
Pearl River,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,31,1498
Perry,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,7,1498
Pike,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,18,1498
Pontotoc,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,17,1498
Prentiss,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Quitman,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,5,1498
Rankin,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,62,1498
Scott,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,22,1498
Sharkey,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Simpson,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,23,1498
Smith,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Stone,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,8,1498
Sunflower,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,14,1498
Tallahatchie,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,15,1498
Tate,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,16,1498
Tippah,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Tishomingo,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,7,1498
Tunica,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,7,1498
Union,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,13,1498
Walthall,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,6,1498
Warren,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,25,1498
Washington,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,19,1498
Wayne,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,11,1498
Webster,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,2,1498
Wilkinson,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,9,1498
Winston,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,4,1498
Yalobusha,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,7,1498
Yazoo,United States-President,Presidential Electors for Howie Hawkins for President and Angela Nicole Walker for Vice President,Green,8,1498
Adams,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Alcorn,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,118,8026
Amite,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
Attala,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,36,8026
Benton,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,12,8026
Bolivar,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Calhoun,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,15,8026
Carroll,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,14,8026
Chickasaw,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,75,8026
Choctaw,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,16,8026
Claiborne,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,11,8026
Clarke,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,28,8026
Clay,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Coahoma,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,20,8026
Copiah,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,58,8026
Covington,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,33,8026
DeSoto,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,722,8026
Forrest,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,329,8026
Franklin,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
George,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,54,8026
Greene,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,20,8026
Grenada,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,38,8026
Hancock,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,183,8026
Harrison,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,726,8026
Hinds,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,396,8026
Holmes,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,26,8026
Humphreys,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,10,8026
Issaquena,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,5,8026
Itawamba,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,79,8026
Jackson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,474,8026
Jasper,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,30,8026
Jeff Davis,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,16,8026
Jefferson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,14,8026
Jones,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,169,8026
Kemper,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,10,8026
Lafayette,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,242,8026
Lamar,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,264,8026
Lauderdale,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,149,8026
Lawrence,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Leake,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Lee,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,292,8026
Leflore,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,31,8026
Lincoln,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,64,8026
Lowndes,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,182,8026
Madison,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,351,8026
Marion,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,44,8026
Marshall,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Monroe,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,93,8026
Montgomery,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Neshoba,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,46,8026
Newton,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,47,8026
Noxubee,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,13,8026
Oktibbeha,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,255,8026
Panola,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,48,8026
Pearl River,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,160,8026
Perry,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
Pike,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,91,8026
Pontotoc,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,103,8026
Prentiss,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,70,8026
Quitman,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,12,8026
Rankin,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,555,8026
Scott,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,38,8026
Sharkey,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Simpson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,49,8026
Smith,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,33,8026
Stone,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,57,8026
Sunflower,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,18,8026
Tallahatchie,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,20,8026
Tate,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,84,8026
Tippah,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,43,8026
Tishomingo,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,97,8026
Tunica,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,9,8026
Union,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,81,8026
Walthall,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,19,8026
Warren,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,93,8026
Washington,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,53,8026
Wayne,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,45,8026
Webster,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,27,8026
Wilkinson,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,12,8026
Winston,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,41,8026
Yalobusha,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,26,8026
Yazoo,United States-President,Presidential Electors for Jo Jorgensen for President and Jeremy 'Spike' Cohen for Vice President,Libertarian,21,8026
Adams,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Alcorn,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Amite,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Attala,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Benton,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Bolivar,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Calhoun,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Carroll,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Chickasaw,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Choctaw,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,1,659
Claiborne,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,6,659
Clarke,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,3,659
Clay,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,8,659
Coahoma,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
Copiah,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
Covington,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,2,659
DeSoto,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,119,659
Forrest,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,14,659
Franklin,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,4,659
George,United States-President,Presidential Electors for Brock Pierce for President and Karla Ballard for Vice President,Independent,5,659
