elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
11/3/2020,"CIMARRON","CIMARRON COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,6,6,2,"NO",,11,79,166,256,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,6,6,1,"YES",,41,194,346,581,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,6,6,2,"NO",,14,79,197,290,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,6,6,1,"YES",,45,188,355,588,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,6,6,2,"NO",,9,82,177,268,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,6,6,1,"YES",,46,191,355,592,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,6,6,2,"NO",,9,80,179,268,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,6,6,1,"YES",,40,191,340,571,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,6,6,2,"NO",,14,78,184,276,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,6,6,1,"YES",,41,179,304,524,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,6,6,2,"NO",,14,89,221,324,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,6,6,1,"YES",,39,180,311,530,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,6,6,2,"NO",,16,88,212,316,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,6,6,1,"YES",,36,180,309,525,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,6,6,2,"NO",,17,87,214,318,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,6,6,1,"FOR THE PROPOSAL - YES",,22,58,136,216,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,6,6,2,"AGAINST THE PROPOSAL - NO",,47,247,477,771,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,6,6,1,"FOR THE PROPOSAL - YES",,27,117,222,366,,
11/3/2020,"CIMARRON","CIMARRON COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,6,6,2,"AGAINST THE PROPOSAL - NO",,41,186,377,604,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,11820,7905,46952,66677,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,557,150,1571,2278,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,20080,6339,23408,49827,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,83,22,204,309,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,5,"KANYE WEST | MICHELLE TIDBALL",IND,79,31,367,477,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,84,84,6,"BROCK PIERCE | KARLA BALLARD",IND,70,5,135,210,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10002,"FOR CORPORATION COMMISSIONER",,84,84,1,"TODD HIETT",REP,17129,9077,50368,76574,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10002,"FOR CORPORATION COMMISSIONER",,84,84,2,"TODD HAGOPIAN",LIB,11426,4034,17482,32942,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10003,"FOR UNITED STATES SENATOR",,84,84,1,"JIM INHOFE",REP,12005,7781,44754,64540,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10003,"FOR UNITED STATES SENATOR",,84,84,2,"ROBERT MURPHY",LIB,492,216,2182,2890,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10003,"FOR UNITED STATES SENATOR",,84,84,3,"ABBY BROYLES",DEM,19747,6223,23662,49632,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10003,"FOR UNITED STATES SENATOR",,84,84,4,"JOAN FARR",IND,299,127,1209,1635,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10003,"FOR UNITED STATES SENATOR",,84,84,5,"A. D. NESBIT",IND,201,64,592,857,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10007,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,84,84,1,"TOM COLE",REP,13980,8274,48169,70423,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10007,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,84,84,2,"BOB WHITE",LIB,766,349,3368,4483,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10007,"FOR UNITED STATES REPRESENTATIVE DISTRICT 04",,84,84,3,"MARY BRANNON",DEM,17870,5757,20622,44249,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10016,"FOR STATE SENATOR DISTRICT 15",,29,29,1,"ROB STANDRIDGE",REP,4725,2364,15971,23060,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10016,"FOR STATE SENATOR DISTRICT 15",,29,29,2,"ALEX SCOTT",DEM,6017,1668,6316,14001,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10031,"FOR STATE SENATOR DISTRICT 45",,10,10,1,"PAUL ROSINO",REP,1975,1207,5817,8999,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10031,"FOR STATE SENATOR DISTRICT 45",,10,10,2,"JENNIFER WILKINSON",DEM,1737,572,2255,4564,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 45",,12,12,1,"PHILLIP HILLIAN",REP,1734,1234,6256,9224,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10078,"FOR STATE REPRESENTATIVE DISTRICT 45",,12,12,2,"MERLEYN BELL",DEM,3944,1438,4468,9850,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10079,"FOR STATE REPRESENTATIVE DISTRICT 46",,16,16,1,"NANCY SANGIRARDI",REP,2107,1127,7019,10253,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10079,"FOR STATE REPRESENTATIVE DISTRICT 46",,16,16,2,"JACOB ROSECRANTS",DEM,4517,1111,4704,10332,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10123,"FOR STATE REPRESENTATIVE DISTRICT 90",,1,1,1,"JON ECHOLS",REP,419,267,1085,1771,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10123,"FOR STATE REPRESENTATIVE DISTRICT 90",,1,1,2,"WAYNE HUGHES",DEM,231,68,207,506,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10225,"FOR COUNTY SHERIFF",,84,84,1,"CHRIS AMASON",REP,18183,9132,50599,77914,CLEVELAND
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10225,"FOR COUNTY SHERIFF",,84,84,2,"KELLY OWINGS",IND,11257,4283,18247,33787,CLEVELAND
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10379,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,30,30,1,"DARRY STACY",REP,5042,3097,18330,26469,CLEVELAND
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",10379,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,30,30,2,"MICHAEL D. THOMAS",DEM,5911,2110,7407,15428,CLEVELAND
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,84,84,1,"YES",,17265,8120,43317,68702,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,84,84,2,"NO",,11722,4286,19886,35894,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,84,84,1,"YES",,20534,7954,41644,70132,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,84,84,2,"NO",,8663,4536,21922,35121,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,84,84,1,"YES",,17369,7978,42400,67747,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,84,84,2,"NO",,11554,4367,20613,36534,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,84,84,1,"YES",,17409,7997,42450,67856,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,84,84,2,"NO",,11341,4309,20296,35946,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,84,84,1,"YES",,18028,7877,41703,67608,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,84,84,2,"NO",,10738,4411,20934,36083,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,84,84,1,"YES",,20839,8078,41038,69955,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,84,84,2,"NO",,7976,4221,21615,33812,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,84,84,1,"YES",,21038,8142,41326,70506,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,84,84,2,"NO",,7751,4152,21275,33178,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,84,84,1,"YES",,18798,7521,39497,65816,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,84,84,2,"NO",,9913,4742,23032,37687,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,84,84,1,"FOR THE PROPOSAL - YES",,20441,6697,28866,56004,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,84,84,2,"AGAINST THE PROPOSAL - NO",,11288,7171,41148,59607,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,84,84,1,"FOR THE PROPOSAL - YES",,12988,5315,27132,45435,,
11/3/2020,"CLEVELAND","CLEVELAND COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,84,84,2,"AGAINST THE PROPOSAL - NO",,18596,8378,41904,68878,,
11/3/2020,"CLEVELAND","CITY OF MOORE",41401,"PROPOSITION NO. 1  CITY OF MOORE",,19,19,1,"FOR THE PROPOSITION - YES",,3992,1755,8480,14227,,
11/3/2020,"CLEVELAND","CITY OF MOORE",41401,"PROPOSITION NO. 1  CITY OF MOORE",,19,19,2,"AGAINST THE PROPOSITION - NO",,1680,1119,6001,8800,,
11/3/2020,"CLEVELAND","CITY OF MOORE",41402,"PROPOSITION NO. 2  CITY OF MOORE",,19,19,1,"FOR THE PROPOSITION - YES",,4272,1842,9130,15244,,
11/3/2020,"CLEVELAND","CITY OF MOORE",41402,"PROPOSITION NO. 2  CITY OF MOORE",,19,19,2,"AGAINST THE PROPOSITION - NO",,1408,1039,5322,7769,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45501,"PROPOSITION NO. 1  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6933,2975,11904,21812,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45501,"PROPOSITION NO. 1  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1471,1399,6554,9424,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45502,"PROPOSITION NO. 2  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,7339,3289,13581,24209,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45502,"PROPOSITION NO. 2  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1125,1097,4883,7105,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45503,"PROPOSITION NO. 3  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6662,2973,12227,21862,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45503,"PROPOSITION NO. 3  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1772,1368,6116,9256,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45504,"PROPOSITION NO. 4  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,5526,2494,10351,18371,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45504,"PROPOSITION NO. 4  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,2869,1809,7833,12511,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45505,"PROPOSITION NO. 5  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6073,2678,10969,19720,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45505,"PROPOSITION NO. 5  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,2227,1589,6954,10770,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45506,"PROPOSITION NO. 6  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6283,2721,11054,20058,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45506,"PROPOSITION NO. 6  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1976,1520,6854,10350,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45507,"PROPOSITION NO. 7  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6898,2775,10978,20651,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45507,"PROPOSITION NO. 7  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1551,1554,7228,10333,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45508,"PROPOSITION NO. 8  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6716,2846,11284,20846,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45508,"PROPOSITION NO. 8  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1702,1476,6904,10082,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45509,"PROPOSITION NO. 9  CITY OF OKLAHOMA CITY",,26,26,1,"FOR THE PROPOSITION - YES",,6574,2860,11415,20849,,
11/3/2020,"CLEVELAND","CITY OF OKLAHOMA CITY",45509,"PROPOSITION NO. 9  CITY OF OKLAHOMA CITY",,26,26,2,"AGAINST THE PROPOSITION - NO",,1823,1467,6823,10113,,
11/3/2020,"CLEVELAND","LITTLE AXE FIRE PROTECTION #70",60141,"FOR BOARD MEMBER BOARD MEMBER OFFICE #2  LITTLE AXE FIRE PROTECTION #70",,2,2,1,"WINNIE RUSSELL",,53,19,584,656,CLEVELAND
11/3/2020,"CLEVELAND","LITTLE AXE FIRE PROTECTION #70",60141,"FOR BOARD MEMBER BOARD MEMBER OFFICE #2  LITTLE AXE FIRE PROTECTION #70",,2,2,2,"JENEENA PALMS",,42,16,326,384,CLEVELAND
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,76,564,1451,2091,,
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,6,7,21,34,,
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,34,100,240,374,,
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,1,4,4,9,,
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,5,"KANYE WEST | MICHELLE TIDBALL",IND,0,1,11,12,,
11/3/2020,"COAL","COAL COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,9,9,6,"BROCK PIERCE | KARLA BALLARD",IND,0,3,1,4,,
11/3/2020,"COAL","COAL COUNTY",10002,"FOR CORPORATION COMMISSIONER",,9,9,1,"TODD HIETT",REP,77,546,1416,2039,,
11/3/2020,"COAL","COAL COUNTY",10002,"FOR CORPORATION COMMISSIONER",,9,9,2,"TODD HAGOPIAN",LIB,35,77,186,298,,
11/3/2020,"COAL","COAL COUNTY",10003,"FOR UNITED STATES SENATOR",,9,9,1,"JIM INHOFE",REP,68,532,1364,1964,,
11/3/2020,"COAL","COAL COUNTY",10003,"FOR UNITED STATES SENATOR",,9,9,2,"ROBERT MURPHY",LIB,1,7,25,33,,
11/3/2020,"COAL","COAL COUNTY",10003,"FOR UNITED STATES SENATOR",,9,9,3,"ABBY BROYLES",DEM,44,113,273,430,,
11/3/2020,"COAL","COAL COUNTY",10003,"FOR UNITED STATES SENATOR",,9,9,4,"JOAN FARR",IND,3,7,20,30,,
11/3/2020,"COAL","COAL COUNTY",10003,"FOR UNITED STATES SENATOR",,9,9,5,"A. D. NESBIT",IND,0,7,17,24,,
11/3/2020,"COAL","COAL COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,9,9,1,"MARKWAYNE MULLIN",REP,69,532,1374,1975,,
11/3/2020,"COAL","COAL COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,9,9,2,"RICHIE CASTALDO",LIB,7,15,52,74,,
11/3/2020,"COAL","COAL COUNTY",10005,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",,9,9,3,"DANYELL LANIER",DEM,40,109,265,414,,
11/3/2020,"COAL","COAL COUNTY",10226,"FOR COUNTY SHERIFF",,9,9,1,"STEVEN FLOWERS",REP,48,317,799,1164,COAL
11/3/2020,"COAL","COAL COUNTY",10226,"FOR COUNTY SHERIFF",,9,9,2,"BRYAN JUMP",DEM,70,359,933,1362,COAL
11/3/2020,"COAL","COAL COUNTY",10380,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,2,2,1,"JOHN McCOLLUM",REP,25,121,215,361,COAL
11/3/2020,"COAL","COAL COUNTY",10380,"FOR COUNTY COMMISSIONER DISTRICT NO. 2",,2,2,2,"NICK LEE",DEM,26,180,295,501,COAL
11/3/2020,"COAL","COAL COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,9,9,1,"YES",,77,379,1032,1488,,
11/3/2020,"COAL","COAL COUNTY",20001,"SUPREME COURT DISTRICT 1 - MATTHEW JOHN KANE, IV",,9,9,2,"NO",,30,184,466,680,,
11/3/2020,"COAL","COAL COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,9,9,1,"YES",,69,380,999,1448,,
11/3/2020,"COAL","COAL COUNTY",20006,"SUPREME COURT DISTRICT 6 - TOM COLBERT",,9,9,2,"NO",,38,192,502,732,,
11/3/2020,"COAL","COAL COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,9,9,1,"YES",,75,370,996,1441,,
11/3/2020,"COAL","COAL COUNTY",20009,"SUPREME COURT DISTRICT 9 - RICHARD B. DARBY",,9,9,2,"NO",,33,193,491,717,,
11/3/2020,"COAL","COAL COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,9,9,1,"YES",,73,351,981,1405,,
11/3/2020,"COAL","COAL COUNTY",20011,"COURT OF CRIMINAL APPEALS DISTRICT 2 - ROBERT L. HUDSON",,9,9,2,"NO",,35,204,505,744,,
11/3/2020,"COAL","COAL COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,9,9,1,"YES",,76,351,992,1419,,
11/3/2020,"COAL","COAL COUNTY",20012,"COURT OF CRIMINAL APPEALS DISTRICT 3 - GARY L. LUMPKIN",,9,9,2,"NO",,32,203,495,730,,
11/3/2020,"COAL","COAL COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,9,9,1,"YES",,73,338,911,1322,,
11/3/2020,"COAL","COAL COUNTY",20016,"COURT OF CIVIL APPEALS DISTRICT 1 - OFFICE 2 - JANE P. WISEMAN",,9,9,2,"NO",,35,211,578,824,,
11/3/2020,"COAL","COAL COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,9,9,1,"YES",,74,337,938,1349,,
11/3/2020,"COAL","COAL COUNTY",20017,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 1 - DEBORAH B. BARNES",,9,9,2,"NO",,34,211,547,792,,
11/3/2020,"COAL","COAL COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,9,9,1,"YES",,61,338,911,1310,,
11/3/2020,"COAL","COAL COUNTY",20018,"COURT OF CIVIL APPEALS DISTRICT 2 - OFFICE 2 - KEITH RAPP",,9,9,2,"NO",,46,214,573,833,,
11/3/2020,"COAL","COAL COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,9,9,1,"FOR THE PROPOSAL - YES",,40,118,360,518,,
11/3/2020,"COAL","COAL COUNTY",30001,"STATE QUESTION NO. 805 INITIATIVE PETITION NO. 421",,9,9,2,"AGAINST THE PROPOSAL - NO",,72,505,1290,1867,,
11/3/2020,"COAL","COAL COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,9,9,1,"FOR THE PROPOSAL - YES",,36,231,588,855,,
11/3/2020,"COAL","COAL COUNTY",30002,"STATE QUESTION NO. 814 LEGISLATIVE REFERENDUM NO. 375",,9,9,2,"AGAINST THE PROPOSAL - NO",,75,381,1034,1490,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,1,"DONALD J. TRUMP | MICHAEL R. PENCE",REP,2995,1521,16389,20905,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,2,"JO JORGENSEN | JEREMY SPIKE COHEN",LIB,129,44,526,699,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,3,"JOSEPH R. BIDEN | KAMALA D. HARRIS",DEM,3967,1790,7990,13747,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,4,"JADE SIMMONS | CLAUDELIAH J. ROZE",IND,21,4,71,96,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,5,"KANYE WEST | MICHELLE TIDBALL",IND,12,5,104,121,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10001,"FOR ELECTORS FOR PRESIDENT AND VICE PRESIDENT",,39,39,6,"BROCK PIERCE | KARLA BALLARD",IND,13,4,46,63,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10002,"FOR CORPORATION COMMISSIONER",,39,39,1,"TODD HIETT",REP,3649,1680,17201,22530,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10002,"FOR CORPORATION COMMISSIONER",,39,39,2,"TODD HAGOPIAN",LIB,2606,1314,6115,10035,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10003,"FOR UNITED STATES SENATOR",,39,39,1,"JIM INHOFE",REP,3174,1558,16294,21026,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10003,"FOR UNITED STATES SENATOR",,39,39,2,"ROBERT MURPHY",LIB,131,48,673,852,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10003,"FOR UNITED STATES SENATOR",,39,39,3,"ABBY BROYLES",DEM,3669,1682,7336,12687,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10003,"FOR UNITED STATES SENATOR",,39,39,4,"JOAN FARR",IND,87,47,462,596,,
11/3/2020,"COMANCHE","COMANCHE COUNTY",10003,"FOR UNITED STATES SENATOR",,39,39,5,"A. D. NESBIT",IND,52,26,249,327,,
