




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Totals:                       86412                         21768                         1605                          31744                         31                            55148                         55148                         

                                                                               State Senator, District 54
                                                            CHARLIE BETHEL (I) (REP)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gordon                        10019                         3648                          165                           2724                          9                             6546                          6546                          
Murray                        16466                         5368                          290                           4698                          0                             10356                         10356                         
Pickens                       8251                          2034                          55                            2399                          1                             4489                          4489                          
Whitfield                     39588                         13386                         958                           11144                         29                            25517                         25517                         
Totals:                       74324                         24436                         1468                          20965                         39                            46908                         46908                         

                                                                                                                                                          State Senator, District 55
                                                            ANNETTE  DAVIS JACKSON (REP)                                                                                                                          GLORIA BUTLER (I) (DEM)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
DeKalb                        50521                         838                           112                           1106                          4                             2060                          10787                         1057                          21744                         12                            33600                         35660                         
Gwinnett                      60419                         7071                          1180                          7352                          23                            15626                         11212                         979                           16020                         96                            28307                         43933                         
Totals:                       110940                        7909                          1292                          8458                          27                            17686                         21999                         2036                          37764                         108                           61907                         79593                         

                                                                                                                                                          State Senator, District 56
                                                            JOHN ALBERS (I) (REP)                                                                                                                                 PATRICK THOMPSON (DEM)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cherokee                      5549                          1008                          225                           1489                          1                             2723                          422                           100                           671                           0                             1193                          3916                          
Fulton                        101864                        14497                         2939                          28995                         48                            46479                         8939                          1531                          21250                         56                            31776                         78255                         
Totals:                       107413                        15505                         3164                          30484                         49                            49202                         9361                          1631                          21921                         56                            32969                         82171                         

                                                                         State Representative, District 1
                                                            JOHN DEFFENBAUGH (I) (REP)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Dade                          8588                          2665                          117                           2366                          2                             5150                          5150                          
Walker                        21957                         4665                          434                           5531                          6                             10636                         10636                         
Totals:                       30545                         7330                          551                           7897                          8                             15786                         15786                         

                                                                         State Representative, District 2
                                                            STEVE TARVIN (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Catoosa                       5723                          1697                          66                            2217                          2                             3982                          3982                          
Walker                        17935                         3577                          352                           5979                          4                             9912                          9912                          
Whitfield                     5879                          2253                          146                           1644                          1                             4044                          4044                          
Totals:                       29537                         7527                          564                           9840                          7                             17938                         17938                         

                                                                         State Representative, District 3
                                                            DEWAYNE HILL (REP)                                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Catoosa                       29108                         6218                          485                           12360                         8                             19071                         19071                         
Totals:                       29108                         6218                          485                           12360                         8                             19071                         19071                         

                                                                         State Representative, District 4
                                                            BRUCE BROADRICK SR (I) (REP)                                                                                                                          
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Whitfield                     18826                         5883                          479                           4957                          16                            11335                         11335                         
Totals:                       18826                         5883                          479                           4957                          16                            11335                         11335                         

                                                                         State Representative, District 5
                                                            JOHN MEADOWS (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gordon                        22629                         6111                          402                           6937                          13                            13463                         13463                         
Murray                        2244                          786                           31                            533                           0                             1350                          1350                          
Totals:                       24873                         6897                          433                           7470                          13                            14813                         14813                         

                                                                         State Representative, District 6
                                                            JASON T. RIDLEY (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Murray                        9922                          2543                          114                           1983                          0                             4640                          4640                          
Whitfield                     17295                         5203                          335                           4466                          10                            10014                         10014                         
Totals:                       27217                         7746                          449                           6449                          10                            14654                         14654                         

                                                                         State Representative, District 7
                                                            DAVID RALSTON (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Dawson                        1974                          462                           88                            783                           0                             1333                          1333                          
Fannin                        14684                         4258                          625                           4839                          6                             9728                          9728                          
Gilmer                        15748                         4452                          531                           5613                          9                             10605                         10605                         
Totals:                       32406                         9172                          1244                          11235                         15                            21666                         21666                         

                                                                         State Representative, District 8
                                                            MATT GURTLER (REP)                                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Rabun                         9884                          1194                          747                           4738                          0                             6679                          6679                          
Towns                         8608                          1525                          306                           3759                          10                            5600                          5600                          
Union                         14370                         3418                          505                           6322                          3                             10248                         10248                         
White                         3294                          1049                          97                            1150                          1                             2297                          2297                          
Totals:                       36156                         7186                          1655                          15969                         14                            24824                         24824                         

                                                                         State Representative, District 9
                                                            KEVIN TANNER (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Dawson                        12617                         2202                          344                           6425                          15                            8986                          8986                          
Forsyth                       13312                         436                           44                            1141                          1                             1622                          1622                          
Lumpkin                       15618                         2533                          442                           7704                          6                             10685                         10685                         
Totals:                       41547                         5171                          830                           15270                         22                            21293                         21293                         

                                                                        State Representative, District 10
                                                            TERRY ROGERS (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Habersham                     19848                         2280                          626                           7835                          1                             10742                         10742                         
White                         11375                         2960                          394                           4063                          9                             7426                          7426                          
Totals:                       31223                         5240                          1020                          11898                         10                            18168                         18168                         

                                                                                                                                                   State Representative, District 11
                                                            RICK JASPERSE (I) (REP)                                                                                                                               BRANDON D CRISP (DEM)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Gordon                        8275                          1468                          78                            904                           3                             2453                          252                           11                            160                           1                             424                           2877                          
Murray                        8678                          1778                          126                           1938                          0                             3842                          514                           52                            500                           0                             1066                          4908                          
Pickens                       17319                         4553                          218                           6934                          0                             11705                         624                           54                            1143                          2                             1823                          13528                         
Totals:                       34272                         7799                          422                           9776                          3                             18000                         1390                          117                           1803                          3                             3313                          21313                         

                                                                        State Representative, District 12
                                                            EDDIE LUMSDEN (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Chattooga                     11099                         3335                          184                           3571                          4                             7094                          7094                          
Floyd                         16859                         4331                          230                           4195                          30                            8786                          8786                          
Totals:                       27958                         7666                          414                           7766                          34                            15880                         15880                         

                                                                        State Representative, District 13
                                                            KATIE DEMPSEY (I) (REP)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Floyd                         26984                         5494                          631                           8325                          26                            14476                         14476                         
Totals:                       26984                         5494                          631                           8325                          26                            14476                         14476                         

                                                                        State Representative, District 14
                                                            CHRISTIAN COOMER (I) (REP)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bartow                        26913                         7499                          444                           5219                          4                             13166                         13166                         
Floyd                         10322                         2211                          159                           3110                          31                            5511                          5511                          
Totals:                       37235                         9710                          603                           8329                          35                            18677                         18677                         

                                                                                                                                                   State Representative, District 15
                                                            PAUL BATTLES (I) (REP)                                                                                                                                STEPHANIE F LUJAN (DEM)                                                                                                                               
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bartow                        31109                         6961                          610                           7604                          7                             15182                         2320                          237                           2287                          5                             4849                          20031                         
Totals:                       31109                         6961                          610                           7604                          7                             15182                         2320                          237                           2287                          5                             4849                          20031                         

                                                                        State Representative, District 16
                                                            TREY KELLEY (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Bartow                        4835                          1979                          73                            1073                          1                             3126                          3126                          
Haralson                      2680                          1055                          56                            657                           0                             1768                          1768                          
Polk                          20268                         3969                          407                           8019                          7                             12402                         12402                         
Totals:                       27783                         7003                          536                           9749                          8                             17296                         17296                         

                                                                        State Representative, District 17
                                                            HOWARD MAXWELL (I) (REP)                                                                                                                              
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Paulding                      34603                         5960                          929                           13521                         5                             20415                         20415                         
Totals:                       34603                         5960                          929                           13521                         5                             20415                         20415                         

                                                                        State Representative, District 18
                                                            KEVIN COOKE (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Carroll                       18821                         3370                          254                           4583                          11                            8218                          8218                          
Haralson                      12569                         3959                          322                           3968                          7                             8256                          8256                          
Totals:                       31390                         7329                          576                           8551                          18                            16474                         16474                         

                                                                        State Representative, District 19
                                                            PAULETTE RAKESTRAW (I) (REP)                                                                                                                          
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Paulding                      37395                         5866                          979                           12953                         4                             19802                         19802                         
Totals:                       37395                         5866                          979                           12953                         4                             19802                         19802                         

                                                                        State Representative, District 20
                                                            MICHAEL CALDWELL (I) (REP)                                                                                                                            
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cherokee                      37814                         9830                          1092                          12618                         3                             23543                         23543                         
Totals:                       37814                         9830                          1092                          12618                         3                             23543                         23543                         

                                                                        State Representative, District 21
                                                            SCOT TURNER (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cherokee                      40926                         9492                          1056                          13413                         6                             23967                         23967                         
Totals:                       40926                         9492                          1056                          13413                         6                             23967                         23967                         

                                                                                                                                                   State Representative, District 22
                                                            WES CANTRELL (I) (REP)                                                                                                                                OSCAR "ASGHAR" HAJLOO (DEM)                                                                                                                           
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cherokee                      31589                         6369                          734                           10524                         1                             17628                         890                           133                           1446                          0                             2469                          20097                         
Forsyth                       30408                         2010                          238                           4312                          4                             6564                          879                           103                           1481                          1                             2464                          9028                          
Fulton                        2446                          579                           41                            982                           0                             1602                          67                            11                            204                           1                             283                           1885                          
Totals:                       64443                         8958                          1013                          15818                         5                             25794                         1836                          247                           3131                          2                             5216                          31010                         

                                                                        State Representative, District 23
                                                            MANDI BALLINGER (I) (REP)                                                                                                                             
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Cherokee                      36736                         9164                          813                           10963                         4                             20944                         20944                         
Totals:                       36736                         9164                          813                           10963                         4                             20944                         20944                         

                                                                        State Representative, District 24
                                                            SHERI SMALLWOOD GILLIGAN (I) (REP)                                                                                                                    
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Forsyth                       47926                         6169                          860                           18959                         8                             25996                         25996                         
Totals:                       47926                         6169                          860                           18959                         8                             25996                         25996                         

                                                                        State Representative, District 25
                                                            TODD JONES (REP)                                                                                                                                      
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Forsyth                       55953                         5630                          1130                          16764                         5                             23529                         23529                         
Fulton                        4122                          609                           274                           1749                          1                             2633                          2633                          
Totals:                       60075                         6239                          1404                          18513                         6                             26162                         26162                         

                                                                        State Representative, District 26
                                                            GEOFF DUNCAN (I) (REP)                                                                                                                                
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Forsyth                       62408                         7818                          916                           17640                         12                            26386                         26386                         
Totals:                       62408                         7818                          916                           17640                         12                            26386                         26386                         

                                                                        State Representative, District 27
                                                            LEE HAWKINS (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Hall                          33536                         9369                          752                           8604                          4                             18729                         18729                         
White                         1677                          366                           27                            347                           0                             740                           740                           
Totals:                       35213                         9735                          779                           8951                          4                             19469                         19469                         

                                                                        State Representative, District 28
                                                            DAN GASAWAY (I) (REP)                                                                                                                                 
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Banks                         8581                          3158                          188                           2888                          1                             6235                          6235                          
Habersham                     11803                         588                           171                           2461                          2                             3222                          3222                          
Stephens                      13132                         1763                          543                           6159                          3                             8468                          8468                          
Totals:                       33516                         5509                          902                           11508                         6                             17925                         17925                         

                                                                        State Representative, District 29
                                                            MATT DUBNIK (REP)                                                                                                                                     
County                        Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Provisional                   Choice Total                  Total                         
Hall                          26848                         5149                          815                           6760                          9                             12733                         12733                         
