




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Appling                       10613                         1720                          266                           1700                          0                             3686                          986                           193                           1280                          3                             2462                          6148                          
Atkinson                      4252                          696                           58                            723                           2                             1479                          313                           20                            431                           0                             764                           2243                          
Bacon                         6010                          536                           85                            1510                          1                             2132                          204                           59                            1007                          0                             1270                          3402                          
Baker                         2232                          427                           83                            304                           1                             815                           159                           40                            121                           0                             320                           1135                          
Baldwin                       23399                         3779                          583                           4700                          0                             9062                          1955                          465                           2991                          2                             5413                          14475                         
Banks                         10807                         2268                          121                           1590                          0                             3979                          1386                          84                            1010                          0                             2480                          6459                          
Barrow                        47514                         9078                          789                           7791                          6                             17664                         4128                          377                           3770                          1                             8276                          25940                         
Bartow                        64074                         12608                         994                           10194                         26                            23822                         5945                          460                           5131                          5                             11541                         35363                         
Ben Hill                      9258                          1079                          213                           2203                          9                             3504                          432                           76                            1171                          1                             1680                          5184                          
Berrien                       10247                         1761                          176                           1775                          4                             3716                          836                           113                           1142                          0                             2091                          5807                          
Bibb                          99934                         19262                         2892                          17632                         170                           39956                         9165                          1200                          7214                          44                            17623                         57579                         
Bleckley                      6944                          1163                          162                           1802                          4                             3131                          481                           60                            726                           0                             1267                          4398                          
Brantley                      9984                          1558                          96                            1494                          4                             3152                          813                           70                            1097                          1                             1981                          5133                          
Brooks                        9911                          1726                          271                           1383                          18                            3398                          867                           114                           866                           5                             1852                          5250                          
Bryan                         25712                         4338                          362                           5665                          10                            10375                         1386                          178                           2165                          4                             3733                          14108                         
Bulloch                       39983                         7463                          689                           7263                          99                            15514                         3192                          280                           3291                          30                            6793                          22307                         
Burke                         14449                         3044                          677                           1996                          0                             5717                          1162                          200                           921                           2                             2285                          8002                          
Butts                         15280                         1467                          226                           3854                          0                             5547                          599                           115                           1981                          0                             2695                          8242                          
Calhoun                       2982                          742                           123                           354                           0                             1219                          289                           49                            195                           0                             533                           1752                          
Camden                        31632                         4992                          713                           4976                          6                             10687                         2327                          391                           2671                          2                             5391                          16078                         
Candler                       5572                          741                           54                            1354                          0                             2149                          274                           54                            765                           0                             1093                          3242                          
Carroll                       72908                         12779                         982                           12568                         57                            26386                         6274                          431                           6432                          30                            13167                         39553                         
Catoosa                       40513                         6425                          301                           8673                          21                            15420                         2410                          163                           3824                          8                             6405                          21825                         
Charlton                      6072                          901                           98                            789                           3                             1791                          644                           54                            657                           4                             1359                          3150                          
Chatham                       188315                        45057                         4130                          22204                         146                           71537                         16725                         1525                          8597                          37                            26884                         98421                         
Chattahoochee                 3132                          381                           25                            314                           3                             723                           150                           7                             125                           0                             282                           1005                          
Chattooga                     11099                         2405                          123                           2107                          5                             4640                          1094                          79                            1137                          1                             2311                          6951                          
Cherokee                      165612                        33654                         3375                          30150                         72                            67251                         15777                         1560                          15860                         24                            33221                         100472                        
Clarke                        70597                         14410                         1963                          14525                         31                            30929                         4627                          741                           4352                          3                             9723                          40652                         
Clay                          1856                          295                           86                            332                           0                             713                           127                           29                            200                           0                             356                           1069                          
Clayton                       169574                        30636                         4337                          36532                         291                           71796                         6215                          1113                          9285                          45                            16658                         88454                         
Clinch                        3884                          603                           61                            706                           4                             1374                          216                           29                            415                           0                             660                           2034                          
Cobb                          486696                        115793                        16781                         76610                         1039                          210223                        48772                         6827                          29804                         224                           85627                         295850                        
Coffee                        21900                         2924                          235                           4752                          11                            7922                          1205                          112                           2239                          4                             3560                          11482                         
Colquitt                      21948                         4194                          331                           3913                          7                             8445                          1663                          141                           1683                          3                             3490                          11935                         
Columbia                      95779                         20244                         1962                          19666                         24                            41896                         7146                          693                           8403                          11                            16253                         58149                         
Cook                          9423                          1644                          146                           1877                          0                             3667                          703                           87                            1022                          0                             1812                          5479                          
Coweta                        91585                         19071                         1778                          16196                         13                            37058                         8816                          814                           7938                          1                             17569                         54627                         
Crawford                      7459                          1370                          120                           1466                          2                             2958                          659                           93                            915                           1                             1668                          4626                          
Crisp                         11674                         1693                          203                           2582                          17                            4495                          569                           106                           1248                          4                             1927                          6422                          
Dade                          10496                         1646                          60                            1427                          7                             3140                          867                           42                            872                           5                             1786                          4926                          
Dawson                        18278                         2575                          249                           4066                          7                             6897                          1282                          152                           2508                          4                             3946                          10843                         
Decatur                       15201                         2647                          345                           2505                          74                            5571                          1241                          153                           1392                          20                            2806                          8377                          
DeKalb                        494731                        104637                        13909                         113058                        1311                          232915                        28197                         3963                          29784                         262                           62206                         295121                        
Dodge                         11055                         1982                          273                           2148                          7                             4410                          897                           120                           918                           3                             1938                          6348                          
Dooly                         5669                          1063                          118                           1058                          0                             2239                          469                           53                            665                           1                             1188                          3427                          
Dougherty                     57817                         13303                         1391                          8141                          87                            22922                         3841                          414                           2696                          18                            6969                          29891                         
Douglas                       89305                         15264                         2131                          19968                         40                            37403                         5502                          848                           8962                          12                            15324                         52727                         
Early                         6992                          1295                          272                           990                           3                             2560                          629                           119                           469                           0                             1217                          3777                          
Echols                        1929                          222                           22                            485                           0                             729                           92                            10                            214                           0                             316                           1045                          
Effingham                     38132                         8275                          462                           7145                          4                             15886                         3011                          218                           2935                          0                             6164                          22050                         
Elbert                        11123                         1742                          308                           2084                          45                            4179                          1045                          193                           1337                          14                            2589                          6768                          
Emanuel                       12343                         2322                          195                           1960                          3                             4480                          1183                          138                           1140                          2                             2463                          6943                          
Evans                         5569                          716                           123                           1316                          0                             2155                          285                           58                            667                           0                             1010                          3165                          
Fannin                        17200                         3008                          333                           3234                          7                             6582                          1667                          221                           1676                          4                             3568                          10150                         
Fayette                       83763                         15464                         1706                          19526                         23                            36719                         7405                          723                           9936                          10                            18074                         54793                         
Floyd                         52469                         10043                         761                           8820                          70                            19694                         4297                          391                           4075                          30                            8793                          28487                         
Forsyth                       143680                        23602                         2833                          32672                         38                            59145                         10662                         1234                          17223                         14                            29133                         88278                         
Franklin                      13069                         2522                          207                           1916                          0                             4645                          1499                          156                           1393                          0                             3048                          7693                          
Fulton                        703177                        130477                        11870                         161401                        1459                          305207                        38168                         3895                          49542                         289                           91894                         397101                        
Gilmer                        19069                         3259                          301                           3729                          18                            7307                          1887                          188                           2148                          11                            4234                          11541                         
Glascock                      1837                          350                           41                            366                           0                             757                           144                           24                            195                           1                             364                           1121                          
Glynn                         54274                         8730                          1172                          11408                         100                           21410                         3774                          519                           5147                          28                            9468                          30878                         
Gordon                        30086                         5609                          325                           4905                          20                            10859                         2755                          155                           2523                          10                            5443                          16302                         
Grady                         13546                         2664                          255                           2479                          14                            5412                          1114                          114                           1135                          0                             2363                          7775                          
Greene                        12081                         1826                          324                           3626                          4                             5780                          784                           240                           1680                          2                             2706                          8486                          
Gwinnett                      525568                        110769                        13987                         97316                         1604                          223676                        38111                         4955                          34041                         370                           77477                         301153                        
Habersham                     24707                         2838                          481                           5678                          3                             9000                          1470                          288                           3686                          2                             5446                          14446                         
Hall                          114817                        25150                         2179                          15055                         77                            42461                         12205                         1059                          8057                          34                            21355                         63816                         
Hancock                       5601                          932                           289                           911                           4                             2136                          418                           114                           463                           2                             997                           3133                          
Haralson                      17923                         3657                          215                           2513                          0                             6385                          1975                          143                           1410                          0                             3528                          9913                          
Harris                        22877                         5401                          446                           4670                          8                             10525                         2087                          223                           2119                          6                             4435                          14960                         
Hart                          14706                         2333                          241                           2911                          2                             5487                          1338                          161                           1938                          1                             3438                          8925                          
Heard                         6678                          1501                          150                           921                           3                             2575                          680                           91                            419                           1                             1191                          3766                          
Henry                         154376                        23767                         3320                          38830                         128                           66045                         9274                          1326                          17229                         41                            27870                         93915                         
Houston                       93924                         14537                         2085                          22414                         46                            39082                         5614                          836                           10741                         19                            17210                         56292                         
Irwin                         5277                          896                           75                            1270                          3                             2244                          371                           44                            602                           2                             1019                          3263                          
Jackson                       42272                         7053                          633                           9078                          6                             16770                         3297                          304                           5009                          3                             8613                          25383                         
Jasper                        9030                          1523                          206                           1671                          20                            3420                          823                           172                           1095                          13                            2103                          5523                          
Jeff Davis                    7556                          1137                          130                           1551                          0                             2818                          543                           68                            848                           0                             1459                          4277                          
Jefferson                     10349                         2178                          337                           1607                          8                             4130                          833                           158                           895                           1                             1887                          6017                          
Jenkins                       4677                          716                           107                           955                           9                             1787                          315                           61                            462                           4                             842                           2629                          
Johnson                       5060                          739                           129                           924                           0                             1792                          407                           66                            835                           0                             1308                          3100                          
Jones                         18194                         3127                          504                           4343                          7                             7981                          1324                          214                           2199                          1                             3738                          11719                         
Lamar                         11288                         1929                          254                           2262                          7                             4452                          1029                          109                           1304                          2                             2444                          6896                          
Lanier                        5034                          643                           68                            1059                          2                             1772                          199                           34                            481                           0                             714                           2486                          
Laurens                       28805                         5710                          779                           4970                          11                            11470                         2747                          380                           2840                          0                             5967                          17437                         
Lee                           21012                         5046                          282                           3759                          5                             9092                          1998                          150                           1665                          1                             3814                          12906                         
Liberty                       31051                         4638                          687                           5979                          6                             11310                         1362                          207                           1824                          3                             3396                          14706                         
Lincoln                       5748                          993                           175                           1020                          1                             2189                          537                           137                           718                           1                             1393                          3582                          
Long                          7606                          1276                          117                           1336                          9                             2738                          456                           43                            499                           1                             999                           3737                          
Lowndes                       67459                         7828                          1236                          12385                         359                           21808                         3525                          488                           7704                          114                           11831                         33639                         
Lumpkin                       19567                         2339                          273                           4232                          5                             6849                          1143                          150                           2730                          1                             4024                          10873                         
Macon                         6569                          1109                          215                           1346                          0                             2670                          365                           86                            588                           0                             1039                          3709                          
Madison                       18018                         3635                          295                           3034                          1                             6965                          1830                          170                           1792                          1                             3793                          10758                         
Marion                        4468                          892                           147                           755                           1                             1795                          445                           68                            356                           0                             869                           2664                          
McDuffie                      13587                         1927                          486                           3109                          0                             5522                          801                           298                           1653                          0                             2752                          8274                          
McIntosh                      8962                          1267                          252                           1783                          0                             3302                          589                           139                           952                           0                             1680                          4982                          
Meriwether                    13710                         3528                          312                           1738                          6                             5584                          1454                          127                           927                           2                             2510                          8094                          
Miller                        3814                          724                           77                            613                           0                             1414                          290                           33                            272                           1                             596                           2010                          
Mitchell                      13324                         2555                          363                           2281                          9                             5208                          792                           161                           901                           0                             1854                          7062                          
Monroe                        18724                         3502                          414                           3744                          7                             7667                          2082                          218                           2175                          1                             4476                          12143                         
Montgomery                    5145                          1118                          108                           754                           0                             1980                          613                           71                            508                           0                             1192                          3172                          
Morgan                        13100                         2291                          254                           3330                          2                             5877                          1160                          111                           1698                          1                             2970                          8847                          
Murray                        19170                         3494                          147                           2857                          0                             6498                          1745                          89                            1742                          0                             3576                          10074                         
Muscogee                      112540                        22195                         2980                          18939                         94                            44208                         7255                          1064                          7309                          22                            15650                         59858                         
Newton                        69805                         14538                         1876                          13314                         9                             29737                         5527                          640                           4862                          2                             11031                         40768                         
Oconee                        27538                         5190                          584                           7391                          10                            13175                         2399                          262                           3525                          0                             6186                          19361                         
Oglethorpe                    9473                          1650                          230                           2100                          0                             3980                          796                           137                           1074                          1                             2008                          5988                          
Paulding                      98948                         16775                         2063                          20890                         55                            39783                         7023                          957                           10183                         16                            18179                         57962                         
Peach                         16632                         2135                          293                           4286                          59                            6773                          880                           120                           2018                          18                            3036                          9809                          
Pickens                       21151                         3475                          113                           4088                          0                             7676                          2078                          84                            2522                          0                             4684                          12360                         
Pierce                        10855                         1194                          169                           2617                          1                             3981                          643                           119                           1661                          0                             2423                          6404                          
Pike                          12212                         2233                          144                           2573                          3                             4953                          1301                          141                           1649                          6                             3097                          8050                          
Polk                          20970                         3031                          268                           4764                          1                             8064                          1370                          142                           2487                          0                             3999                          12063                         
Pulaski                       5293                          559                           139                           1471                          0                             2169                          227                           56                            817                           0                             1100                          3269                          
